FLOW,,exports,exports,imports,imports
TRADE_TYPE,,Extra-EU,Intra-EU,Extra-EU,Intra-EU
DECLARANT_ISO,product_type,,,,
AT,Capital goods,0.668,0.722,0.528,0.676
AT,Consumption goods,0.56,0.797,0.396,1.157
AT,Intermediate goods,1.373,2.15,1.19,2.384
BE,Capital goods,0.587,0.79,0.847,0.885
BE,Consumption goods,1.595,2.352,1.855,1.933
BE,Intermediate goods,4.08,4.977,4.556,4.732
BG,Capital goods,0.055,0.074,0.073,0.112
BG,Consumption goods,0.087,0.197,0.099,0.209
BG,Intermediate goods,0.382,0.397,0.573,0.339
CY,Capital goods,0.043,0.006,0.034,0.025
CY,Consumption goods,0.023,0.016,0.059,0.066
CY,Intermediate goods,0.017,0.007,0.05,0.065
CZ,Capital goods,0.538,1.265,1.136,0.738
CZ,Consumption goods,0.192,0.877,0.279,0.95
CZ,Intermediate goods,0.833,2.329,1.056,2.385
DE,Capital goods,8.356,4.509,4.461,3.46
DE,Consumption goods,4.883,5.053,4.626,6.07
DE,Intermediate goods,15.585,12.274,11.895,13.045
DK,Capital goods,0.421,0.312,0.225,0.45
DK,Consumption goods,1.255,0.749,0.605,0.671
DK,Intermediate goods,0.965,0.74,0.653,0.987
EE,Capital goods,0.098,0.049,0.023,0.063
EE,Consumption goods,0.029,0.077,0.024,0.121
EE,Intermediate goods,0.146,0.199,0.156,0.198
ES,Capital goods,0.624,0.589,0.68,0.914
ES,Consumption goods,1.788,2.077,2.179,1.628
ES,Intermediate goods,2.81,2.555,4.397,3.168
FI,Capital goods,0.492,0.188,0.105,0.3
FI,Consumption goods,0.107,0.095,0.134,0.372
FI,Intermediate goods,0.922,0.769,0.758,0.806
FR,Capital goods,2.163,1.273,1.516,2.06
FR,Consumption goods,3.757,2.485,2.989,3.773
FR,Intermediate goods,4.685,4.247,5.251,5.971
GB,Capital goods,0.136,0.073,0.238,0.127
GB,Consumption goods,0.18,0.132,0.358,0.256
GB,Intermediate goods,0.634,0.341,1.047,0.361
GR,Capital goods,0.043,0.051,0.116,0.131
GR,Consumption goods,0.177,0.309,0.223,0.378
GR,Intermediate goods,0.481,0.282,0.962,0.496
HR,Capital goods,0.044,0.04,0.049,0.101
HR,Consumption goods,0.087,0.105,0.086,0.233
HR,Intermediate goods,0.157,0.223,0.2,0.326
HU,Capital goods,0.3,0.503,0.502,0.416
HU,Consumption goods,0.251,0.608,0.182,0.542
HU,Intermediate goods,0.632,1.62,1.137,1.59
IE,Capital goods,0.614,0.26,0.575,0.503
IE,Consumption goods,1.133,0.619,0.309,0.289
IE,Intermediate goods,3.422,1.537,1.097,0.453
IT,Capital goods,2.469,1.269,1.055,1.137
IT,Consumption goods,4.033,2.714,2.05,2.317
IT,Intermediate goods,5.055,4.055,6.289,4.147
LT,Capital goods,0.14,0.058,0.04,0.147
LT,Consumption goods,0.163,0.214,0.074,0.244
LT,Intermediate goods,0.399,0.306,0.385,0.34
LU,Capital goods,0.023,0.045,0.043,0.081
LU,Consumption goods,0.009,0.069,0.023,0.167
LU,Intermediate goods,0.095,0.223,0.05,0.295
LV,Capital goods,0.058,0.045,0.056,0.075
LV,Consumption goods,0.104,0.091,0.039,0.173
LV,Intermediate goods,0.137,0.182,0.126,0.186
MT,Capital goods,0.007,0.005,0.027,0.016
MT,Consumption goods,0.018,0.02,0.036,0.032
MT,Intermediate goods,0.049,0.018,0.04,0.05
NL,Capital goods,2.72,3.473,5.62,1.325
NL,Consumption goods,2.303,4.092,3.858,2.315
NL,Intermediate goods,4.57,6.874,8.924,4.399
PL,Capital goods,0.682,0.916,0.812,0.97
PL,Consumption goods,0.938,2.443,0.888,1.554
PL,Intermediate goods,1.479,3.064,2.668,3.03
PT,Capital goods,0.095,0.167,0.096,0.28
PT,Consumption goods,0.223,0.447,0.175,0.598
PT,Intermediate goods,0.431,0.739,0.73,0.956
RO,Capital goods,0.103,0.223,0.181,0.37
RO,Consumption goods,0.127,0.367,0.254,0.588
RO,Intermediate goods,0.588,0.964,0.843,1.25
SE,Capital goods,0.802,0.445,0.363,0.682
SE,Consumption goods,0.836,0.565,0.761,0.87
SE,Intermediate goods,1.777,1.42,1.246,1.536
SI,Capital goods,0.082,0.122,0.115,0.117
SI,Consumption goods,0.384,0.218,0.367,0.189
SI,Intermediate goods,0.298,0.502,0.402,0.466
SK,Capital goods,0.131,0.361,0.124,0.414
SK,Consumption goods,0.073,0.407,0.105,0.471
SK,Intermediate goods,0.188,0.974,0.643,1.298
