PARTNER_ISO,exports,imports
US,21.024078476586425,13.180061702026086
CN,12.10011780449339,24.720864195012414
CH,8.504008035082368,6.954244900763729
RU,4.705339390665794,5.591991486505254
TR,4.196427286278314,4.020532701299178
JP,3.225920172142163,3.5648043315334794
NO,2.8770787112102902,2.360423150687726
KR,2.703281139660169,2.8239395670437886
CA,2.007214242070631,1.3826299933540296
IN,1.836192459129917,2.140934040600111
MX,1.8158620828853014,1.3171302988193918
AU,1.71533991759514,0.4164792693782855
BR,1.6243527561859596,1.588290406052682
AE,1.576579840984517,0.5613559306880896
QZ,1.5551898126468506,1.3901984209816949
SG,1.4623390526748574,1.0147924980890766
SA,1.435296318100424,1.0014860765619318
HK,1.4075539175108047,0.48485517416487317
UA,1.371962470430234,1.0476039482088575
TW,1.3670788273858072,1.704676908903749
MA,1.1970622884132176,0.9626905980727141
IL,1.1650981677415084,0.7411397486304859
EG,1.0724046828541596,0.4077854894871541
ZA,1.0513907255149233,1.086957444911545
XS,0.8718986915966013,0.6833944145785713
DZ,0.7923035048324361,0.7217908688512403
TH,0.682571827582645,1.1417520441826887
MY,0.6336318567553935,1.579438995740232
QS,0.6043696913341761,
QW,0.5586243000742741,0.5477683387264327
NG,0.5544239806848518,0.8767884453937741
TN,0.5238044867532198,0.5476041805130184
VN,0.5224601919385415,2.209422025001905
CL,0.44763281588685405,0.37812702479726484
ID,0.43098353294018943,0.8523020084557615
QA,0.3797311373520463,0.23803383728545432
BY,0.3716143574890154,0.24999437526972948
KZ,0.35720841813725507,0.7974266754555368
AR,0.34992129286869234,0.42641703197398645
PH,0.3422163931786788,0.41684706135061395
BA,0.3309069105507075,0.257948036611497
KW,0.2841946491414787,0.056725583560548444
CO,0.2727123062510627,0.23308088993799833
NZ,0.2512943929491724,0.14992449665741628
MK,0.24571867240536452,0.29291165901794836
LB,0.2424850991419539,0.028802701567304027
GI,0.2295492003662884,0.011114959747007257
PK,0.22656548484438535,0.3588637787747972
LY,0.22630359953357151,0.25353157710869645
IR,0.21549094395560564,0.04542533654122058
IQ,0.20626453766324038,0.46305048359084083
OM,0.17772653402858304,0.020686132836629425
JO,0.17669810829008262,0.022991472841004723
PE,0.17620026978896047,0.32298452063266225
SN,0.1759788130276402,0.02341779720277732
AL,0.17510387957293203,0.10247623519879902
CI,0.1673750866985337,0.26932577016654535
IS,0.1608881755338323,0.1667982316923899
MD,0.1560331916869726,0.1031467884222756
GH,0.15407569784234093,0.11987143978527598
KY,0.14030863543213182,0.09120746978686384
BD,0.13114386226594754,0.8790585111035263
UZ,0.129269551750181,0.04126177749012877
