FLOW,exports,exports,imports,imports
TRADE_TYPE,Extra-EU,Intra-EU,Extra-EU,Intra-EU
AT,87.98,89.88,89.87,94.87
BE,92.62,93.36,93.11,96.08
BG,77.14,77.24,83.27,90.72
CY,27.4,33.33,68.31,80.99
CZ,82.69,91.68,87.1,94.9
DE,93.42,94.04,94.74,95.79
DK,89.91,85.85,91.11,92.55
EE,70.18,76.5,75.89,89.28
ES,93.49,93.84,93.83,96.54
FI,81.98,78.11,86.05,92.98
FR,93.2,93.2,94.87,96.64
GB,85.59,91.17,88.7,92.09
GR,74.63,84.4,82.72,94.12
HR,80.79,78.3,78.54,92.13
HU,81.21,85.62,85.1,92.85
IE,70.76,69.25,87.62,88.89
IT,91.75,92.84,92.71,96.11
LT,85.14,82.69,79.35,91.96
LU,53.64,77.37,62.33,92.98
LV,73.08,78.18,75.99,90.2
MT,36.81,24.66,67.56,77.62
NL,93.55,93.49,94.45,94.87
PL,91.2,91.3,91.08,94.9
PT,85.82,83.33,83.04,94.05
RO,79.24,86.33,83.47,93.89
SE,92.46,89.04,93.47,93.96
SI,83.56,84.27,81.67,92.36
SK,67.02,86.07,77.95,93.79
